Дата,Регион,Заражений,Выздоровлений,Смертей,Смертей за день,Заражений за день,Выздоровлений за день
06.03.2020,Москва,5,0,0,0,5,0
07.03.2020,Москва,5,0,0,0,0,0
08.03.2020,Москва,5,0,0,0,0,0
09.03.2020,Москва,8,0,0,0,3,0
10.03.2020,Москва,11,0,0,0,3,0
11.03.2020,Москва,17,0,0,0,6,0
12.03.2020,Москва,21,0,0,0,4,0
13.03.2020,Москва,26,0,0,0,5,0
14.03.2020,Москва,35,0,0,0,9,0
15.03.2020,Москва,35,1,0,0,0,1
16.03.2020,Москва,53,1,0,0,18,0
17.03.2020,Москва,55,1,0,0,2,0
18.03.2020,Москва,86,1,0,0,31,0
19.03.2020,Москва,98,1,0,0,12,0
20.03.2020,Москва,131,5,0,0,33,4
21.03.2020,Москва,137,8,0,0,6,3
22.03.2020,Москва,191,8,0,0,54,0
23.03.2020,Москва,262,9,0,0,71,1
24.03.2020,Москва,290,9,0,0,28,0
25.03.2020,Москва,410,14,2,2,120,5
26.03.2020,Москва,546,15,2,0,136,1
27.03.2020,Москва,703,18,3,1,157,3
28.03.2020,Москва,817,18,5,2,114,0
29.03.2020,Москва,1014,28,6,1,197,10
30.03.2020,Москва,1226,28,6,0,212,0
31.03.2020,Москва,1613,70,11,5,387,42
01.04.2020,Москва,1880,115,16,5,267,45
02.04.2020,Москва,2475,140,19,3,595,25
03.04.2020,Москва,2923,168,20,1,448,28
04.04.2020,Москва,3357,194,27,7,434,26
05.04.2020,Москва,3893,198,29,2,536,4
06.04.2020,Москва,4484,206,29,0,591,8
07.04.2020,Москва,5181,222,31,2,697,16
08.04.2020,Москва,5841,270,31,0,660,48
09.04.2020,Москва,6698,313,38,7,857,43
10.04.2020,Москва,7822,350,50,12,1124,37
11.04.2020,Москва,8852,499,58,8,1030,149
12.04.2020,Москва,10158,687,72,14,1306,188
13.04.2020,Москва,11513,837,82,10,1355,150
14.04.2020,Москва,13002,1016,95,13,1489,179
15.04.2020,Москва,14776,1205,106,11,1774,189
16.04.2020,Москва,16146,1394,113,7,1370,189
17.04.2020,Москва,18105,1517,127,14,1959,123
18.04.2020,Москва,20754,1679,148,21,2649,162
19.04.2020,Москва,24324,1763,176,28,3570,84
20.04.2020,Москва,26350,1838,204,28,2026,75
21.04.2020,Москва,29433,2057,233,29,3083,219
22.04.2020,Москва,31981,2267,261,28,2548,210
23.04.2020,Москва,33940,2448,288,27,1959,181
24.04.2020,Москва,36897,2735,325,37,2957,287
25.04.2020,Москва,39509,3047,366,41,2612,312
26.04.2020,Москва,42480,3175,404,38,2971,128
27.04.2020,Москва,45351,3524,435,31,2871,349
28.04.2020,Москва,48426,4130,479,44,3075,606
29.04.2020,Москва,50646,4610,546,67,2220,480
30.04.2020,Москва,53739,5135,611,65,3093,525
01.05.2020,Москва,57300,5766,658,47,3561,631
02.05.2020,Москва,62658,6374,695,37,5358,608
03.05.2020,Москва,68606,7029,729,34,5948,655
04.05.2020,Москва,74401,7573,764,35,5795,544
05.05.2020,Москва,80115,7870,816,52,5714,297
06.05.2020,Москва,85973,8458,866,50,5858,588
07.05.2020,Москва,92676,9227,905,39,6703,769
08.05.2020,Москва,98522,10259,956,51,5846,1032
09.05.2020,Москва,104189,12779,1010,54,5667,2520
10.05.2020,Москва,109740,13790,1068,58,5551,1011
11.05.2020,Москва,115909,17822,1124,56,6169,4032
12.05.2020,Москва,121301,19642,1179,55,5392,1820
13.05.2020,Москва,126004,21506,1232,53,4703,1864
14.05.2020,Москва,130716,23327,1290,58,4712,1821
15.05.2020,Москва,135464,24562,1358,68,4748,1235
16.05.2020,Москва,138969,26032,1432,74,3505,1470
17.05.2020,Москва,142824,27490,1503,71,3855,1458
18.05.2020,Москва,146062,28913,1580,77,3238,1423
19.05.2020,Москва,149607,31496,1651,71,3545,2583
20.05.2020,Москва,152306,36936,1726,75,2699,5440
21.05.2020,Москва,155219,40682,1794,68,2913,3746
22.05.2020,Москва,158207,43582,1867,73,2988,2900
23.05.2020,Москва,161397,47413,1934,67,3190,3831
24.05.2020,Москва,163913,49840,1993,59,2516,2427
25.05.2020,Москва,166473,53586,2034,41,2560,3746
26.05.2020,Москва,169303,61619,2110,76,2830,8033
27.05.2020,Москва,171443,67458,2183,73,2140,5839
28.05.2020,Москва,173497,71251,2254,71,2054,3793
