,Страна,Дата,Заражений,Выздоровлений,Смертей,Заражений за день,Выздоровлений за день,Смертей за день
0,Италия,22.01.2020,0,0,0,0,0,0
1,Италия,23.01.2020,0,0,0,0,0,0
2,Италия,24.01.2020,0,0,0,0,0,0
3,Италия,25.01.2020,0,0,0,0,0,0
4,Италия,26.01.2020,0,0,0,0,0,0
5,Италия,27.01.2020,0,0,0,0,0,0
6,Италия,28.01.2020,0,0,0,0,0,0
7,Италия,29.01.2020,0,0,0,0,0,0
8,Италия,30.01.2020,0,0,0,0,0,0
9,Италия,31.01.2020,2,0,0,2,0,0
10,Италия,01.02.2020,2,0,0,0,0,0
11,Италия,02.02.2020,2,0,0,0,0,0
12,Италия,03.02.2020,2,0,0,0,0,0
13,Италия,04.02.2020,2,0,0,0,0,0
14,Италия,05.02.2020,2,0,0,0,0,0
15,Италия,06.02.2020,2,0,0,0,0,0
16,Италия,07.02.2020,3,0,0,1,0,0
17,Италия,08.02.2020,3,0,0,0,0,0
18,Италия,09.02.2020,3,0,0,0,0,0
19,Италия,10.02.2020,3,0,0,0,0,0
20,Италия,11.02.2020,3,0,0,0,0,0
21,Италия,12.02.2020,3,0,0,0,0,0
22,Италия,13.02.2020,3,0,0,0,0,0
23,Италия,14.02.2020,3,0,0,0,0,0
24,Италия,15.02.2020,3,0,0,0,0,0
25,Италия,16.02.2020,3,0,0,0,0,0
26,Италия,17.02.2020,3,0,0,0,0,0
27,Италия,18.02.2020,3,0,0,0,0,0
28,Италия,19.02.2020,3,0,0,0,0,0
29,Италия,20.02.2020,3,0,0,0,0,0
30,Италия,21.02.2020,20,0,1,17,0,1
31,Италия,22.02.2020,62,1,2,42,1,1
32,Италия,23.02.2020,155,2,3,93,1,1
33,Италия,24.02.2020,229,1,7,74,-1,4
34,Италия,25.02.2020,322,1,10,93,0,3
35,Италия,26.02.2020,453,3,12,131,2,2
36,Италия,27.02.2020,655,45,17,202,42,5
37,Италия,28.02.2020,888,46,21,233,1,4
38,Италия,29.02.2020,1128,46,29,240,0,8
39,Италия,01.03.2020,1694,83,34,566,37,5
40,Италия,02.03.2020,2036,149,52,342,66,18
41,Италия,03.03.2020,2502,160,79,466,11,27
42,Италия,04.03.2020,3089,276,107,587,116,28
43,Италия,05.03.2020,3858,414,148,769,138,41
44,Италия,06.03.2020,4636,523,197,778,109,49
45,Италия,07.03.2020,5883,589,233,1247,66,36
46,Италия,08.03.2020,7375,622,366,1492,33,133
47,Италия,09.03.2020,9172,724,463,1797,102,97
48,Италия,10.03.2020,10149,724,631,977,0,168
49,Италия,11.03.2020,12462,1045,827,2313,321,196
50,Италия,12.03.2020,15113,1045,1016,2651,0,189
51,Италия,13.03.2020,17660,1439,1266,2547,394,250
52,Италия,14.03.2020,21157,1966,1441,3497,527,175
53,Италия,15.03.2020,24747,2335,1809,3590,369,368
54,Италия,16.03.2020,27980,2749,2158,3233,414,349
55,Италия,17.03.2020,31506,2941,2503,3526,192,345
56,Италия,18.03.2020,35713,4025,2978,4207,1084,475
57,Италия,19.03.2020,41035,4440,3405,5322,415,427
58,Италия,20.03.2020,47021,4440,4032,5986,0,627
59,Италия,21.03.2020,53578,6072,4825,6557,1632,793
